NYSE / NASDAQ Mining Company Date,RIO - Adj Close,RIO - Volume,SQM - Adj Close,SQM - Volume,FCX - Adj Close,FCX - Volume,BHP - Adj Close,BHP - Volume,NEM - Adj Close,NEM - Volume,SCCO - Adj Close,SCCO - Volume,HBM - Adj Close,HBM - Volume,ERO - Adj Close,ERO - Volume,VALE - Adj Close,VALE - Volume
27/04/12,25.345007,2772800,32.908108,289614,29.804398,13054000,39.2187,4919621,35.867226,8647400,20.375235,2885800,10.095543,5600,,,11.396894,27835300
30/04/12,24.948996,2268200,32.885536,227994,29.937277,12576200,39.245106,2715398,35.709831,5859800,20.638868,2501000,10.01007,21000,,,11.249936,22023900
01/05/12,25.376152,2386100,33.284794,265993,30.062332,17754100,39.878941,4258567,36.009609,4476400,20.789518,1974000,10.190516,57800,,,11.341155,12083300
02/05/12,24.859997,2829100,33.273457,200265,29.796576,15331300,39.614841,4175613,35.297642,4669100,20.889946,1881900,9.962584,88000,,,11.320886,14455400
03/05/12,24.032372,3200000,33.057949,211254,28.819504,19401400,38.785568,2674033,34.166031,7101000,20.839735,2963400,9.734651,24000,,,11.275275,15320500
04/05/12,23.09795,4120800,32.882137,268252,28.452135,14300500,37.887638,4052191,34.593197,7774300,20.230856,2513000,9.525711,15100,,,10.915479,30567100
07/05/12,23.155794,2982200,32.723339,175617,28.452135,13297900,37.697479,1898526,34.578213,5340200,20.237133,2082500,9.392753,11000,,,10.864803,13365700
08/05/12,22.666336,3914400,32.575878,399914,27.84244,18501400,36.994991,3906909,33.54401,9233700,19.760082,3648100,9.240794,64800,,,10.591158,28011700
09/05/12,22.546194,5012600,32.02578,466977,27.772089,16071300,36.619965,3552449,34.877991,11233700,19.645157,1624000,8.85141,47900,,,10.388459,21002200
10/05/12,22.679689,4555300,32.326347,303376,27.600138,14163300,37.068924,3567246,34.623184,5594100,19.689861,1194600,8.946383,17400,,,10.413793,16910600
11/05/12,22.270319,4948100,32.037121,269074,27.154593,13334500,36.350578,4534445,33.993683,4868800,19.60047,1113300,8.936885,10000,,,10.130011,26138300
14/05/12,21.634033,3755000,31.719517,387076,26.810663,17070600,35.632233,4244554,33.476578,6209300,19.19825,1529300,8.139117,21000,,,9.790488,26011600
15/05/12,20.721857,5659900,31.180746,517608,25.520945,23465800,34.739571,3915205,32.5173,6589700,18.508722,2712500,7.806715,17000,,,9.63846,24719700
16/05/12,20.392588,5034900,30.613611,363866,25.45841,22090700,34.026516,4181218,32.607246,8006800,18.374641,2303900,7.616772,104800,,,9.415487,32269700
17/05/12,19.956524,5538000,30.040825,598946,25.145744,19188400,33.566975,4414050,33.918728,8353000,18.138416,1976100,7.645262,129500,,,9.086101,32440500
18/05/12,19.458166,3725300,29.893372,436783,24.864355,18688200,33.007076,4512361,34.158535,8050700,17.978809,1861400,7.778223,28100,,,9.172246,34305400
21/05/12,20.187904,3551800,30.551229,256750,25.450588,16782900,34.052925,3125236,35.5,7566600,18.483179,1658400,7.930178,9400,,,9.385083,19974100
22/05/12,20.285793,5351700,29.865009,713560,25.114479,16160000,33.582825,5043379,35.365101,7250500,18.444874,1577600,7.55029,39500,,,9.141844,22199200
23/05/12,20.08556,5051000,29.978441,384098,25.583471,21846500,33.350418,5747815,36.3993,8840400,18.45764,2158700,7.502803,23000,,,9.298936,25369300
24/05/12,19.90313,3314600,30.636299,536813,25.45841,15348300,33.17083,4272467,36.44426,9170900,18.508722,1308000,7.369843,85400,,,9.233056,23603400
25/05/12,19.556059,3076300,30.670324,301835,25.33334,9947700,32.647907,3341701,36.586658,5337600,18.381025,1158100,7.23688,50400,,,9.258395,14993600
29/05/12,20.405933,3812100,30.738386,356574,25.9743,15111600,33.815231,4479628,36.107025,7537600,18.834333,1473500,7.331854,25200,,,9.516839,28151500
30/05/12,19.413671,4395600,30.347063,470366,25.33334,12429400,32.515865,4298250,35.85223,7980400,18.323565,1751200,7.189394,36200,,,9.339476,16625500
31/05/12,19.231236,4340900,29.473686,1253351,25.044127,15637300,32.500019,4970402,35.342617,7268700,18.163954,2645300,6.97096,41800,,,9.278665,26497500
01/06/12,18.999855,4958000,29.178787,475809,25.067579,21895100,32.246475,4310133,37.695797,13108600,18.202259,2289600,6.76202,101000,,,9.151976,25847200
04/06/12,18.830774,3277300,28.991632,643313,25.270805,14951500,32.151405,4257446,38.63258,8056900,18.361874,1765500,6.847496,19900,,,9.101299,17816100
05/06/12,19.097752,2519900,29.258181,204373,25.474047,15798900,32.341557,4547785,38.482685,7253800,18.553413,1726500,6.89498,27600,,,9.207719,17709500
06/06/12,19.956524,4216500,29.865009,283041,26.310408,18349600,33.397957,5424855,38.744995,8462300,18.910942,1813700,7.217888,45500,,,9.501637,17813500
07/06/12,20.721857,6371800,30.244978,396217,26.263498,23891600,34.026516,8494378,37.988075,7845500,18.962021,1331200,7.293864,20200,,,9.755015,24861700
08/06/12,19.867535,4306900,30.47184,288998,26.443285,14398300,33.281754,3409073,37.942802,4696500,19.006716,1571700,7.027943,25900,,,9.547245,16729500
11/06/12,19.453722,3023000,29.899033,238161,25.755432,12862200,32.869755,2828395,37.339108,5097600,18.617258,1103900,6.97096,17600,,,9.298936,14757800
12/06/12,20.009916,3126600,30.080513,212281,26.232243,13054700,33.783527,2111628,38.123901,5437400,18.808794,1802300,7.208391,21200,,,9.456029,14073700
13/06/12,19.805239,3765700,29.950071,371671,26.068089,11523000,33.371544,2557225,38.274822,6130500,19.000328,2481600,6.951964,36200,,,9.440827,15368700
14/06/12,19.947624,3624700,30.103201,390876,26.498003,13004000,33.566975,2422257,38.252193,6708700,19.006716,1786600,7.151406,13400,,,9.521908,10052500
15/06/12,20.61952,2550900,30.108875,391800,26.84193,14798400,34.332859,2588165,37.942802,10072800,19.613245,2872700,7.037439,15300,,,9.836091,22193500
18/06/12,20.850897,3281000,30.624962,405665,26.779398,12389500,34.818806,3261213,38.372936,5223500,19.632391,1455500,7.151406,6900,,,9.810758,14296500
19/06/12,21.380402,4191800,31.260143,732559,27.70956,19197200,35.378693,3407280,38.259731,4758800,20.047386,1671200,7.607273,35000,,,10.180686,20808600
20/06/12,21.522787,3695200,31.475657,449210,27.600138,19734000,35.230797,3668360,38.003159,6450400,20.111231,1641500,7.493307,13100,,,10.216158,15636300
21/06/12,20.401484,4004800,30.460493,560947,25.786695,22284200,33.350418,4925562,36.071323,6609500,19.306787,1988800,7.265372,16300,,,9.755015,19210400
22/06/12,20.704058,4160000,30.324387,428156,25.247358,32258900,33.440208,3330043,36.192062,4057900,19.440851,2445700,7.094423,25500,,,9.709407,15643800
25/06/12,19.88533,3486500,29.813976,206632,24.700205,17011800,32.367973,4355646,36.818394,5573400,19.089706,1816000,6.97096,12300,,,9.4763,12872500
26/06/12,20.187904,2615700,30.176926,465539,24.708015,14677700,32.5634,2385600,36.176956,5107400,19.153561,1613200,7.10392,33700,,,9.699274,14614200
27/06/12,20.2146,2142100,30.727051,429081,25.122293,12080200,32.80109,3706250,36.335438,3682600,19.472782,1538200,6.989954,38300,,,9.63846,13553400
28/06/12,20.236851,2677500,30.710035,226248,25.216085,13381700,32.742992,3359861,35.55817,6200300,19.517469,1046900,7.065931,22100,,,9.516839,22506600
29/06/12,21.273611,3188000,31.572062,596790,26.63089,23311200,34.491318,4272131,36.607105,5682500,20.117619,2177700,7.312858,24200,,,10.059066,17659800
02/07/12,21.442688,2893200,31.866974,212692,26.48237,12286900,34.618088,2260497,36.592007,4469300,20.104847,1381400,7.407831,4300,,,10.185754,10095200
03/07/12,22.012243,2411000,32.02578,543591,27.521973,15699200,35.177982,2762368,37.527748,3261100,20.494307,1850400,7.692746,16800,,,10.434064,13132800
05/07/12,21.656281,2560400,32.150536,367666,27.725189,28246700,34.961422,2686364,37.007053,3265000,20.507074,1931800,8.082133,40700,,,10.408727,11132900
06/07/12,21.393751,3868300,31.963387,190919,27.365627,26093000,34.306458,2074747,36.15432,3458400,20.270842,1238500,7.702243,4600,,,10.094536,16664900
09/07/12,21.006632,2089400,31.918024,219367,26.990446,23960900,33.984253,2498485,36.010937,4349300,20.03462,849200,7.521798,5300,,,10.018525,6566300
10/07/12,20.615063,3241200,31.810253,215773,25.864859,19769400,33.244774,3288678,35.029922,4714000,19.760078,1541700,7.198894,7900,,,9.841161,18043700
11/07/12,20.895391,3201900,32.581551,658512,25.535807,23798800,33.477184,2702843,34.697891,6325300,19.811161,1099100,7.246378,33300,,,9.810758,11604900
12/07/12,20.285793,3743900,32.621254,456399,25.535807,17779100,32.663757,3926863,34.305473,5831000,19.709011,987300,7.094423,3700,,,9.749946,12951700
